系统名称,库名,Schema,表名,表中文名,表备注,来源文件名称,来源文件章节,数据库实际备注,文档备注,文档与实际库是否一致,业务域,表类型,数据粒度,总行数,活跃度判断,核心字段,候选主键,候选关联字段,是否纳入数据资产,是否进入数据治理系统,确认状态,判断依据,需要人工确认的问题
HIS_SOURCE,his_ready_10_10_10_15,COMM,ADMINISTRATION_DICT,给药途径字典,给药途径字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,给药途径字典,待从原始表结构文档逐表精确回填,待确认,药品,字典表,一行一个字典项,106,待活跃度统计,ADMINISTRATION_NAME,ADMINISTRATION_NAME,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,ADMISSION_CAUSE_DICT,住院目的字典,住院目的字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,住院目的字典,待从原始表结构文档逐表精确回填,待确认,住院就诊,字典表,一行一个字典项,4,待活跃度统计,ADMISSION_CAUSE_NAME,ADMISSION_CAUSE_NAME,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,AIRCONDITION_CLASS_DICT,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,0,待活跃度统计,AIRCONDITION_CLASS_CODE,AIRCONDITION_CLASS_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,ANAESTHESIA_DICT,麻醉方法字典,麻醉方法字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,麻醉方法字典,待从原始表结构文档逐表精确回填,待确认,麻醉,字典表,一行一个字典项,35,待活跃度统计,ANAESTHESIA_NAME,ANAESTHESIA_NAME,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,ANCI_EXAM_ITEM_DICT,辅助诊断项目字典,辅助诊断项目字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,辅助诊断项目字典,待从原始表结构文档逐表精确回填,待确认,诊断,字典表,一行一个字典项,0,待活跃度统计,DIAG_EXAM_CODE,DIAG_EXAM_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,ANCI_TREAT_ITEM_DICT,辅助治疗项目字典,辅助治疗项目字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,辅助治疗项目字典,待从原始表结构文档逐表精确回填,待确认,项目字典,字典表,一行一个字典项,0,待活跃度统计,DIAG_TREAT_CODE,DIAG_TREAT_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,APPLICATIONS,应用程序记录,应用程序记录,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,应用程序记录,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,99,待活跃度统计,APPLICATION,APPLICATION,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,APPLICATIONS_PARA,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,98,待活跃度统计,CODE,CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,APP_CONFIGER_BASEINFO,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,1505,待活跃度统计,APP_NAME+PARAMETER_NO+PARAMETER_NAME,APP_NAME+PARAMETER_NO+PARAMETER_NAME,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,APP_CONFIGER_PARAMETER,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,30354,待活跃度统计,APP_NAME+DEPT_CODE+EMP_NO+PARAMETER_NAME,APP_NAME+DEPT_CODE+EMP_NO+PARAMETER_NAME,DEPT_CODE,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
