system_code,source_code,relationship_id,source_db,from_table,from_columns,to_table,to_columns,join_condition,relationship_type,validation_status,validation_source,confidence,candidate_score,score_reasons,from_table_role,to_table_role,from_rows_stats,to_rows_stats,recommended_action
HIS_SOURCE,his_ready_10_10_10_15,CAND0010,10.10.10.15:1521/his,DRUG_USER.INP_ORDER_EXECDATA,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,DRUG_USER.INP_ORDER_EXECDATA.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND DRUG_USER.INP_ORDER_EXECDATA.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C,59,"PATIENT_ID,VISIT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",execution_fact,core_fact,53550000,574677,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0011,10.10.10.15:1521/his,DRUG_USER.INP_ORDER_EXECDATA,ORDER_NO+ORDER_SUB_NO,ORDADM.ORDERS,ORDER_NO+ORDER_SUB_NO,DRUG_USER.INP_ORDER_EXECDATA.ORDER_NO=ORDADM.ORDERS.ORDER_NO AND DRUG_USER.INP_ORDER_EXECDATA.ORDER_SUB_NO=ORDADM.ORDERS.ORDER_SUB_NO,name_inferred_candidate,candidate,column_name_pattern,C,59,"ORDER_NO,ORDER_SUB_NO,from_core,to_core_or_dim,large_from,large_to,cross_owner",execution_fact,core_fact,53550000,41033928,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0024,10.10.10.15:1521/his,EXAM.EXAM_BILL_ITEMS,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,EXAM.EXAM_BILL_ITEMS.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND EXAM.EXAM_BILL_ITEMS.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C,59,"PATIENT_ID,VISIT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,5731257,574677,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0031,10.10.10.15:1521/his,EXAM.EXAM_MASTER,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,EXAM.EXAM_MASTER.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND EXAM.EXAM_MASTER.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C,59,"PATIENT_ID,VISIT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,3401210,574677,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0099,10.10.10.15:1521/his,INPBILL.INP_BILL_DETAIL,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPBILL.INP_BILL_DETAIL.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPBILL.INP_BILL_DETAIL.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C,59,"PATIENT_ID,VISIT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,218921398,574677,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0195,10.10.10.15:1521/his,INPBILL.PREPAYMENT_RCPT,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPBILL.PREPAYMENT_RCPT.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPBILL.PREPAYMENT_RCPT.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C,59,"PATIENT_ID,VISIT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",payment_fact,core_fact,26745115,574677,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0233,10.10.10.15:1521/his,LAB.LAB_TEST_MASTER,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,LAB.LAB_TEST_MASTER.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND LAB.LAB_TEST_MASTER.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C,59,"PATIENT_ID,VISIT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,9137516,574677,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0390,10.10.10.15:1521/his,ORDADM.ORDERS,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,ORDADM.ORDERS.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND ORDADM.ORDERS.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C,59,"PATIENT_ID,VISIT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,41033928,574677,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0412,10.10.10.15:1521/his,ORDADM.ORDERS_COSTS,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,ORDADM.ORDERS_COSTS.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND ORDADM.ORDERS_COSTS.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C,59,"PATIENT_ID,VISIT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,50097877,574677,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0433,10.10.10.15:1521/his,ORDADM.ORDERS_EXECUTE_DETAILS,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,ORDADM.ORDERS_EXECUTE_DETAILS.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND ORDADM.ORDERS_EXECUTE_DETAILS.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C,59,"PATIENT_ID,VISIT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",execution_fact,core_fact,42747067,574677,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0545,10.10.10.15:1521/his,PHARMACY.DRUG_DISPENSE_REC,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,PHARMACY.DRUG_DISPENSE_REC.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND PHARMACY.DRUG_DISPENSE_REC.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C,59,"PATIENT_ID,VISIT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,45392994,574677,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0546,10.10.10.15:1521/his,PHARMACY.DRUG_DISPENSE_REC,ORDER_NO+ORDER_SUB_NO,ORDADM.ORDERS,ORDER_NO+ORDER_SUB_NO,PHARMACY.DRUG_DISPENSE_REC.ORDER_NO=ORDADM.ORDERS.ORDER_NO AND PHARMACY.DRUG_DISPENSE_REC.ORDER_SUB_NO=ORDADM.ORDERS.ORDER_SUB_NO,name_inferred_candidate,candidate,column_name_pattern,C,59,"ORDER_NO,ORDER_SUB_NO,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,45392994,41033928,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0556,10.10.10.15:1521/his,PHARMACY.DRUG_PRESC_DETAIL,ORDER_NO+ORDER_SUB_NO,ORDADM.ORDERS,ORDER_NO+ORDER_SUB_NO,PHARMACY.DRUG_PRESC_DETAIL.ORDER_NO=ORDADM.ORDERS.ORDER_NO AND PHARMACY.DRUG_PRESC_DETAIL.ORDER_SUB_NO=ORDADM.ORDERS.ORDER_SUB_NO,name_inferred_candidate,candidate,column_name_pattern,C,59,"ORDER_NO,ORDER_SUB_NO,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,16531160,41033928,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0561,10.10.10.15:1521/his,PHARMACY.DRUG_PRESC_MASTER,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,PHARMACY.DRUG_PRESC_MASTER.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND PHARMACY.DRUG_PRESC_MASTER.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C,59,"PATIENT_ID,VISIT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,6686034,574677,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0070,10.10.10.15:1521/his,INPADM.PATS_IN_HOSPITAL,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.PATS_IN_HOSPITAL.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.PATS_IN_HOSPITAL.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C,54,"PATIENT_ID,VISIT_ID,from_core,to_core_or_dim,large_to,cross_owner",core_fact,core_fact,1122,574677,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0169,10.10.10.15:1521/his,INPBILL.INP_SETTLE_MASTER,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPBILL.INP_SETTLE_MASTER.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPBILL.INP_SETTLE_MASTER.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C,54,"PATIENT_ID,VISIT_ID,from_core,to_core_or_dim,large_to,cross_owner",core_fact,core_fact,603455,574677,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0254,10.10.10.15:1521/his,MEDREC.DIAGNOSIS,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,MEDREC.DIAGNOSIS.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND MEDREC.DIAGNOSIS.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C,53,"PATIENT_ID,VISIT_ID,from_core,to_core_or_dim,large_from,large_to",core_fact,core_fact,3298728,574677,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0413,10.10.10.15:1521/his,ORDADM.ORDERS_COSTS,ORDER_NO+ORDER_SUB_NO,ORDADM.ORDERS,ORDER_NO+ORDER_SUB_NO,ORDADM.ORDERS_COSTS.ORDER_NO=ORDADM.ORDERS.ORDER_NO AND ORDADM.ORDERS_COSTS.ORDER_SUB_NO=ORDADM.ORDERS.ORDER_SUB_NO,name_inferred_candidate,candidate,column_name_pattern,C,53,"ORDER_NO,ORDER_SUB_NO,from_core,to_core_or_dim,large_from,large_to",core_fact,core_fact,50097877,41033928,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0434,10.10.10.15:1521/his,ORDADM.ORDERS_EXECUTE_DETAILS,ORDER_NO+ORDER_SUB_NO,ORDADM.ORDERS,ORDER_NO+ORDER_SUB_NO,ORDADM.ORDERS_EXECUTE_DETAILS.ORDER_NO=ORDADM.ORDERS.ORDER_NO AND ORDADM.ORDERS_EXECUTE_DETAILS.ORDER_SUB_NO=ORDADM.ORDERS.ORDER_SUB_NO,name_inferred_candidate,candidate,column_name_pattern,C,53,"ORDER_NO,ORDER_SUB_NO,from_core,to_core_or_dim,large_from,large_to",execution_fact,core_fact,42747067,41033928,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0009,10.10.10.15:1521/his,DRUG_USER.INP_ORDER_EXECDATA,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,DRUG_USER.INP_ORDER_EXECDATA.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C,49,"PATIENT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",execution_fact,core_fact,53550000,1905243,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0023,10.10.10.15:1521/his,EXAM.EXAM_BILL_ITEMS,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,EXAM.EXAM_BILL_ITEMS.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C,49,"PATIENT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,5731257,1905243,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0030,10.10.10.15:1521/his,EXAM.EXAM_MASTER,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,EXAM.EXAM_MASTER.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C,49,"PATIENT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,3401210,1905243,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0032,10.10.10.15:1521/his,EXAM.EXAM_MASTER,RCPT_NO,OUTPBILL.OUTP_RCPT_MASTER,RCPT_NO,EXAM.EXAM_MASTER.RCPT_NO=OUTPBILL.OUTP_RCPT_MASTER.RCPT_NO,name_inferred_candidate,candidate,column_name_pattern,C,49,"RCPT_NO,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,3401210,9802063,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0098,10.10.10.15:1521/his,INPBILL.INP_BILL_DETAIL,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPBILL.INP_BILL_DETAIL.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C,49,"PATIENT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,218921398,1905243,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0100,10.10.10.15:1521/his,INPBILL.INP_BILL_DETAIL,RCPT_NO,OUTPBILL.OUTP_RCPT_MASTER,RCPT_NO,INPBILL.INP_BILL_DETAIL.RCPT_NO=OUTPBILL.OUTP_RCPT_MASTER.RCPT_NO,name_inferred_candidate,candidate,column_name_pattern,C,49,"RCPT_NO,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,218921398,9802063,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0194,10.10.10.15:1521/his,INPBILL.PREPAYMENT_RCPT,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPBILL.PREPAYMENT_RCPT.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C,49,"PATIENT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",payment_fact,core_fact,26745115,1905243,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0196,10.10.10.15:1521/his,INPBILL.PREPAYMENT_RCPT,RCPT_NO,OUTPBILL.OUTP_RCPT_MASTER,RCPT_NO,INPBILL.PREPAYMENT_RCPT.RCPT_NO=OUTPBILL.OUTP_RCPT_MASTER.RCPT_NO,name_inferred_candidate,candidate,column_name_pattern,C,49,"RCPT_NO,from_core,to_core_or_dim,large_from,large_to,cross_owner",payment_fact,core_fact,26745115,9802063,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0230,10.10.10.15:1521/his,LAB.LAB_TEST_ITEMS,RCPT_NO,OUTPBILL.OUTP_RCPT_MASTER,RCPT_NO,LAB.LAB_TEST_ITEMS.RCPT_NO=OUTPBILL.OUTP_RCPT_MASTER.RCPT_NO,name_inferred_candidate,candidate,column_name_pattern,C,49,"RCPT_NO,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,9336684,9802063,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0232,10.10.10.15:1521/his,LAB.LAB_TEST_MASTER,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,LAB.LAB_TEST_MASTER.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C,49,"PATIENT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,9137516,1905243,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0234,10.10.10.15:1521/his,LAB.LAB_TEST_MASTER,RCPT_NO,OUTPBILL.OUTP_RCPT_MASTER,RCPT_NO,LAB.LAB_TEST_MASTER.RCPT_NO=OUTPBILL.OUTP_RCPT_MASTER.RCPT_NO,name_inferred_candidate,candidate,column_name_pattern,C,49,"RCPT_NO,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,9137516,9802063,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0389,10.10.10.15:1521/his,ORDADM.ORDERS,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,ORDADM.ORDERS.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C,49,"PATIENT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,41033928,1905243,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0411,10.10.10.15:1521/his,ORDADM.ORDERS_COSTS,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,ORDADM.ORDERS_COSTS.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C,49,"PATIENT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,50097877,1905243,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0432,10.10.10.15:1521/his,ORDADM.ORDERS_EXECUTE_DETAILS,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,ORDADM.ORDERS_EXECUTE_DETAILS.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C,49,"PATIENT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",execution_fact,core_fact,42747067,1905243,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0475,10.10.10.15:1521/his,OUTPADM.CLINIC_MASTER,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,OUTPADM.CLINIC_MASTER.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C,49,"PATIENT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,5642159,1905243,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0513,10.10.10.15:1521/his,OUTPBILL.OUTP_RCPT_MASTER,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,OUTPBILL.OUTP_RCPT_MASTER.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C,49,"PATIENT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,9802063,1905243,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0544,10.10.10.15:1521/his,PHARMACY.DRUG_DISPENSE_REC,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,PHARMACY.DRUG_DISPENSE_REC.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C,49,"PATIENT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,45392994,1905243,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0560,10.10.10.15:1521/his,PHARMACY.DRUG_PRESC_MASTER,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,PHARMACY.DRUG_PRESC_MASTER.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C,49,"PATIENT_ID,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,6686034,1905243,validate_next
HIS_SOURCE,his_ready_10_10_10_15,CAND0562,10.10.10.15:1521/his,PHARMACY.DRUG_PRESC_MASTER,RCPT_NO,OUTPBILL.OUTP_RCPT_MASTER,RCPT_NO,PHARMACY.DRUG_PRESC_MASTER.RCPT_NO=OUTPBILL.OUTP_RCPT_MASTER.RCPT_NO,name_inferred_candidate,candidate,column_name_pattern,C,49,"RCPT_NO,from_core,to_core_or_dim,large_from,large_to,cross_owner",core_fact,core_fact,6686034,9802063,validate_next
