Schema,表名,表中文名,总行数,原确认状态,复核动作,复核理由,候选时间字段,是否仍需人工确认
COMM,DIAGNOSIS_DICT_BK_20210209,,27599,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,CREATE_DATE,?
COMM,DIAGNOSIS_DICT_BK_20210808,,25924,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,CREATE_DATE,?
COMM,DIAGNOSIS_DICT_BK_20220822,,27546,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,CREATE_DATE,?
COMM,DIAGNOSIS_DICT_TEMP,疾病字典,38145,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,CREATE_DATE,?
COMM,DICT_EXCEL_TEMPLATE,,0,待人工确认,exclude,技术配置/工具表且为空，不进入治理资产,,?
COMM,DRUG_SUPPLIER_CATALOG,药品供应商目录,1452,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：LICENCEISSUEDATE，需后续只读 SQL 补近30天活跃度,LICENCEISSUEDATE,?
COMM,EXP_DICT_BK,,37,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,,?
COMM,EXP_NAME_DICT_BK,,181,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,,?
COMM,EXP_SUPPLIER_CATALOG,,3505,待人工确认,promote_core_activity_verified,有数据但缺中文名/备注/验证关系，需人工确认??? SQL ???30? 4 ??????,LICENCE_DATE,?
COMM,HIS_VS_BJYB_CATALOG,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,,?
COMM,NURSE_TEMPERATURE_CLASS_DICT,体温单护理类别表,0,待人工确认,remain_manual,规则未能确定,,?
COMM,NURSE_TEMPERATURE_ITEM_DICT,体温单护理项目表,1,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留,,?
COMM,OFFICIAL_DRUG_CATALOG,公费用药目录,0,待人工确认,remain_manual,规则未能确定,ENTERED_DATETIME,?
COMM,OFFICIAL_DRUG_CATALOG_CLASS,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,,?
COMM,OPERATION_DICT_BK_20210219,,15594,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,CREATE_DATE,?
COMM,OPERATION_DICT_BK_20210808,,13617,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,CREATE_DATE,?
DRUG_USER,2025-07-17MED_DICT_PRICE,药品产地价格表,7589,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,CREATE_USER_ID,?
DRUG_USER,20260325MED_DICT_BASEINFO,药品目录表,5949,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,CREATE_USER_ID,?
DRUG_USER,6.30MED_DICT_BASEINFO,药品目录表,5565,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,CREATE_USER_ID,?
DRUG_USER,6.30MED_DICT_PRICE,药品产地价格表,7361,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,CREATE_USER_ID,?
DRUG_USER,7月出院患者,,5361,待人工确认,exclude,表名含中文临时/手工结果语义，按用户规则排除,入院时间,?
DRUG_USER,CS_SECTION,,226,待人工确认,remain_manual,有数据但缺中文名/备注/验证关系，需人工确认,,?
DRUG_USER,DATAPRESCRIPTIONDETAIL_DATA,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,PRESTIME,?
DRUG_USER,DATAPRESCRIPTION_DATA,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,PRESTIME,?
DRUG_USER,DOCUMENT_UPLOAD_RECORD,单据上传记录表,0,待人工确认,exclude,技术配置/工具表且为空，不进入治理资产,CREATE_TIME,?
DRUG_USER,DRUG_EXPORT_DETAIL,药品出库明细记录,427342,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：EXPIRE_DATE，需后续只读 SQL 补近30天活跃度,EXPIRE_DATE,?
DRUG_USER,DRUG_EXPORT_MASTER,药品出库主记录,92763,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：EXPORT_DATE，需后续只读 SQL 补近30天活跃度,EXPORT_DATE,?
DRUG_USER,DRUG_IMPORT_DETAIL,药品入库明细记录,522665,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：EXPIRE_DATE，需后续只读 SQL 补近30天活跃度,EXPIRE_DATE,?
DRUG_USER,DRUG_IMPORT_MASTER,药品入库主记录,172382,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：IMPORT_DATE，需后续只读 SQL 补近30天活跃度,IMPORT_DATE,?
DRUG_USER,DRUG_OTHER_INFO,,2494,待人工确认,remain_manual,有数据但缺中文名/备注/验证关系，需人工确认,生效时间,?
DRUG_USER,DRUG_SUPPLY_GUARANTEE,药品供应保障监测数据,0,待人工确认,remain_manual,空表但有中文名或业务域，需人工确认是否历史保留,SYSTEM_TIME,?
DRUG_USER,DS_EXCLOUD_DRUG,,303,待人工确认,remain_manual,有数据但缺中文名/备注/验证关系，需人工确认,,?
DRUG_USER,GJZXBZDW,,3485,待人工确认,remain_manual,有数据但缺中文名/备注/验证关系，需人工确认,,?
DRUG_USER,INIT_ACCOUNT_LOG,,13,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,CREATE_USER_ID,?
DRUG_USER,INP_PATIENT_LOG,,157701,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,ADMISSION_DATE_TIME,?
DRUG_USER,MED_ADJUST_PRICE_DETAIL,调价明细表,784,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留,,?
DRUG_USER,MED_ADJUST_PRICE_LIST,调价盈亏记录表,1693,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：EXPIRE_DATE，需后续只读 SQL 补近30天活跃度,EXPIRE_DATE,?
DRUG_USER,MED_ADJUST_PRICE_MASTER,调价主表,442,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：ADJST_DATE，需后续只读 SQL 补近30天活跃度,ADJST_DATE,?
