K编号,标题,原台账序号,业务域,风险等级,涉及表
K001,"医保登记报""获取参保地参保人信息失败""",2,1.收费与结算,🟡配,无（接口调用类）
K002,医保规定有正常医保卡的参保人不允许进行无卡业务,3,1.收费与结算,🟡配,无
K003,"出院结算提示""诊断编码不能为空""",4,1.收费与结算,🟡配,无（界面操作修正）
K004,出院结算医保舍入金额 0.01,5,1.收费与结算,🔴写,`INPBILL.INP_BILL_DETAIL`（住院病人费用明细记录）
K005,出院结算医保舍入金额为 0.01 之外的金额,6,1.收费与结算,🟡配,无（费用上传审核环节）
K006,如何进行撤销结算,8,1.收费与结算,🟡配,无
K007,如何进行 HIS 的单撤单结,9,1.收费与结算,🟡配,无
K008,预交金充值提示未配置终端号,16,1.收费与结算,🟡配,`FXHIS.SYS_PAYMENT_COMPARE`（银联终端与IP对照表；2026-08-24 活库核实：FXHIS schema TABLE，16号快照未
K016,住院用血减免提示无类型,70,1.收费与结算,🔴写,`MEDREC.PAT_VISIT`（病人住院主记录）、`LAB.LAB_TEST_MASTER`（检验主记录）、`LAB.LAB_RESULT`（检验结果(大
K009,"新工号诊间结算提示""身份认证错误""",29,1.收费与结算,🟡配,无（地纬系统侧配置）
K010,Mis支付扣费失败,30,1.收费与结算,🟡配,无
K012,省外异地挂号报错，提示无诊断,47,1.收费与结算,🟡配,无
K013,"挂号提示""有卡不能进行无卡操作""",48,,🟡配,无
K014,诊间结算右侧显示报销比例不对,53,,🟡配,无
K015,异地医保、省直医保、省医保扣不了费,65,,🟡配,无（医保比例配置在地纬/医保办侧）
K011,自费处方结算报错,35,,🟡配,无（结算界面配置）
K017,药品有库存但开不出,27,2.医嘱与处方,🟡配,无（药房系统界面配置；物理库存与供应状态为不同字段）
K018,处置界面删除不了检查检验,51,2.医嘱与处方,🟡配,无
K019,下诊断后保存处方仍提示缺失诊断,56,2.医嘱与处方,🟡配,无
K020,怎么维护删除模板,57,2.医嘱与处方,🟡配,无
K021,出院时提示有未发药的处方,59,2.医嘱与处方,🟢读,`PHARMACY.DOCT_DRUG_PRESC_MASTER`（待发药住院处方主记录）、`COMM.DEPT_DICT`（科室字典）
K022,出院通知报错提示有未完成的处方、手术处方和摆药单,66,2.医嘱与处方,🟢读,`PHARMACY.DOCT_DRUG_PRESC_MASTER`（待发药住院处方主记录）、`PHARMACY.DRUG_PRESC_MASTER_TEMP`（
K023,维护特抗药专家,67,2.医嘱与处方,🟡配,`ORDADM.ORDERS_SPECIAL_ANTI_REQUEST`（特抗药申请使用会诊专家名单）
K024,查询出院患者未发药摆药单,68,2.医嘱与处方,🔴写,"`PHARMACY.DRUG_DISPENSE_PRE`（摆药预发药表(无库注释,依台账定名)）、`ORDADM.ORDERS`（医嘱）、`MEDREC.PAT"
K025,移动护理 PDA 执行时间/执行人变更,79,2.医嘱与处方,🔴写,`ORDADM.ORDERS_EXECUTE_DETAILS`（医嘱执行明细）
K026,开立医嘱提示违反唯一约束条件,80,,🔴写,`ORDADM.ORDERS_COSTS`（医嘱计价项目(绑费)）、`ORDADM.ORDERS`（医嘱）
K027,修改特抗药会诊内容,82,,🔴写,`FXHIS.SPECIAL_CONSUL_MASTER`（特抗药会诊主表）、`FXHIS.SPECIAL_ANTIMICROBIALS_DETAILS`（特抗
K028,药品在发药界面看不见,23,3.药房药库,🟡配,无（界面核查）
K038,静配欠费后未继续摆药,71,3.药房药库,🔴写,"**表名待核实**——台账原文""表名和字段如图所示""，截图未随镜像落地（见附录D）"
K029,合理用药普通药品被拦截,25,3.药房药库,🟡配,无（合理用药规则引擎，10.10.8.231:8281 管理端）
K030,医嘱/处方下拉列表无需要开立的药品,32,3.药房药库,🟡配,无（药房药库系统界面核查）
K031,护士站摆药显示库存中查无此药品,33,3.药房药库,🟢读,`COMM.INPUT_DRUG_LISTS_FOR_PRE`（药房对外摆药视图——2026-08-24 活库核实：COMM schema VIEW，16号快照
K032,发药界面查不到患者处方,34,3.药房药库,🟢读,`FXHIS.CLI_REQUEST_DRUG_VIEW`（待发药视图，另有 DRUG_USER 同名视图——2026-08-24 活库核实为 VIEW）
K033,读卡有患者信息但左侧列表无处方,36,3.药房药库,🟡配,无（按场景界面处理）
K034,盘点入库提示批次号数量为 0,38,3.药房药库,🟡配,无（库存管理界面）
K035,盘点时药品不全,39,3.药房药库,🟡配,无（盘点条件勾选）
K036,初始化建账存疑核查,40,3.药房药库,🟢读,无（初始建账模块界面）
K037,患者出院时显示有未完成监护,41,3.药房药库,🟡配,无（药学监护界面）
