关系级别,主系统,主表,主表字段,子系统,子表,子表字段,关系类型,数据粒度,唯一性验证,覆盖率验证,行数放大验证,业务依据,风险说明,建议处理,是否需要人工确认
A,HIS_SOURCE,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,HIS_SOURCE,MEDREC.PAT_VISIT,PATIENT_ID,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""100000"", ""orphan_count"": ""0"", ""match_rate"": ""1.0""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本验证通过，可进入正式数据资产模型；仍建议导入前保留验证指标,导入正式关系,否
A,HIS_SOURCE,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,HIS_SOURCE,MEDREC.DIAGNOSIS,PATIENT_ID+VISIT_ID,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""100000"", ""orphan_count"": ""0"", ""match_rate"": ""1.0""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本验证通过，可进入正式数据资产模型；仍建议导入前保留验证指标,导入正式关系,否
A,HIS_SOURCE,LAB.LAB_TEST_MASTER,TEST_NO,HIS_SOURCE,LAB.LAB_TEST_ITEMS,TEST_NO,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""100000"", ""orphan_count"": ""0"", ""match_rate"": ""1.0""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本验证通过，可进入正式数据资产模型；仍建议导入前保留验证指标,导入正式关系,否
A,HIS_SOURCE,LAB.LAB_TEST_MASTER,TEST_NO,HIS_SOURCE,LAB.LAB_RESULT,TEST_NO,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""100000"", ""orphan_count"": ""0"", ""match_rate"": ""1.0""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本验证通过，可进入正式数据资产模型；仍建议导入前保留验证指标,导入正式关系,否
A,HIS_SOURCE,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,HIS_SOURCE,INPBILL.INP_BILL_DETAIL,PATIENT_ID+VISIT_ID,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""100000"", ""orphan_count"": ""0"", ""match_rate"": ""1.0""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本验证通过，可进入正式数据资产模型；仍建议导入前保留验证指标,导入正式关系,否
A,HIS_SOURCE,OUTPBILL.OUTP_RCPT_MASTER,RCPT_NO,HIS_SOURCE,OUTPBILL.OUTP_BILL_ITEMS,RCPT_NO,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""100000"", ""orphan_count"": ""0"", ""match_rate"": ""1.0""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本验证通过，可进入正式数据资产模型；仍建议导入前保留验证指标,导入正式关系,否
A,HIS_SOURCE,DRUG_USER.PHA_INP_REQUEST_DRUG,REQUEST_NO,HIS_SOURCE,DRUG_USER.PHA_INP_DISPDETAIL,REQUEST_NO,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""100000"", ""orphan_count"": ""0"", ""match_rate"": ""1.0""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本验证通过，可进入正式数据资产模型；仍建议导入前保留验证指标,导入正式关系,否
A,HIS_SOURCE,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,HIS_SOURCE,PHARMACY.DRUG_DISPENSE_REC,PATIENT_ID+VISIT_ID,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""orphan_count"":0,""sample_limit"":10000,""matched_count"":10000,""total_count"":10000,""match_rate"":1.0}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,33_ready_his候选关系补验与旧文档对照; ready_his sample SELECT via 8.53 jump host,样本验证通过，可进入正式数据资产模型；仍建议导入前保留验证指标,导入正式关系,否
A,HIS_SOURCE,ORDADM.ORDERS,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,HIS_SOURCE,PHARMACY.DRUG_DISPENSE_REC,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""orphan_count"":0,""sample_limit"":10000,""matched_count"":10000,""total_count"":10000,""match_rate"":1.0}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,33_ready_his候选关系补验与旧文档对照; ready_his sample SELECT via 8.53 jump host,样本验证通过，可进入正式数据资产模型；仍建议导入前保留验证指标,导入正式关系,否
A,HIS_SOURCE,ORDADM.ORDERS,ORDER_NO+ORDER_SUB_NO,HIS_SOURCE,PHARMACY.DRUG_PRESC_DETAIL,ORDER_NO+ORDER_SUB_NO,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""orphan_count"":0,""sample_limit"":10000,""matched_count"":10000,""total_count"":10000,""match_rate"":1.0}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,33_ready_his候选关系补验与旧文档对照; ready_his sample SELECT via 8.53 jump host,样本验证通过，可进入正式数据资产模型；仍建议导入前保留验证指标,导入正式关系,否
