review_priority,source_system,source_db,owner,table_name,table_comment,num_rows_stats,inferred_domain,column_count_in_current_file,has_primary_key,cleanup_decision,cleanup_reason,dependency_count,review_reason
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_PSNCL,,19,人员,22,true,core_keep,核心表白名单,6,????6???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_PSNDOC,,3279,人员,115,true,core_keep,核心表白名单,72,????72???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,HI_PSNDOC_EDU,,3824,人员,40,true,core_keep,核心表白名单,2,????2???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,HI_PSNDOC_GLBDEF2,,3567,人员,20,true,core_keep,核心表白名单,2,????2???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,HI_PSNDOC_PSNCHG,,3287,人员,28,true,core_candidate,,1,????1???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,HI_PSNJOB,,5460,人员,73,true,core_keep,核心表白名单,11,????11???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_MATERIAL,,37976,供应商/物资,118,true,core_keep,核心表白名单,31,????31???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_MATERIALSTOCK,,37766,供应商/物资,124,true,core_candidate,,4,????4???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_SUPPLIER,,3035,供应商/物资,97,true,core_keep,核心表白名单,15,????15???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_SUPPLIERCLASS,,4,供应商/物资,32,true,core_keep,核心表白名单,1,????1???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IC_MATERIAL_B,,1280451,供应商/物资,168,true,core_keep,核心表白名单,8,????8???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IC_MATERIAL_H,,176371,供应商/物资,60,true,core_keep,核心表白名单,8,????8???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,PO_INVOICE,,11036,供应商/物资,91,true,core_keep,核心表白名单,2,????2???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,PO_INVOICE_B,,699846,供应商/物资,118,true,core_keep,核心表白名单,4,????4???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,SCM_BATCHCODE,,75445,供应商/物资,45,true,core_candidate,,11,????11???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_MEASDOC,,113,其他,22,true,core_keep,核心表白名单,17,????17???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_STORDOC,,135,其他,45,true,core_keep,核心表白名单,20,????20???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IC_ONHANDDIM,,237814,其他,34,true,core_keep,核心表白名单,12,????12???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IC_ONHANDNUM,,189118,其他,21,true,core_keep,核心表白名单,12,????12???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,WA_DATA,,124520,其他,0,true,core_keep,核心表白名单,3,????3???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,WA_ITEM,,86,其他,0,true,core_keep,核心表白名单,1,????1???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_DEFDOC,,22087,字典/编码,50,true,core_keep,核心表白名单,26,????26???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_MARBASCLASS,,38,字典/编码,41,true,core_keep,核心表白名单,19,????19???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,MD_ENUMVALUE,,10133,字典/编码,11,true,core_keep,核心表白名单,3,????3???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,WA_WACLASS,,8,字典/编码,0,true,core_candidate,,3,????3???????????
