系统名称,库名,Schema,表名,表中文名,表备注,来源文件名称,来源文件章节,数据库实际备注,文档备注,文档与实际库是否一致,业务域,表类型,数据粒度,总行数,活跃度判断,核心字段,候选主键,候选关联字段,是否纳入数据资产,是否进入数据治理系统,确认状态,判断依据,需要人工确认的问题
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_copy1,费用模板主记录,费用模板主记录,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,费用模板主记录,待从原始表结构文档逐表精确回填,待确认,费用收费,中间表,一行一张收据/结算或一条收费明细,3946,待活跃度统计,PATTERN_NAME+DEPT_CODE,DEPT_CODE+PATTERN_NAME,DEPT_CODE,否,否,建议排除,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLIENT_INSTALLATION_LOG,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,主数据表,需要人工确认,18,待活跃度统计,,需要验证,,否,否,建议排除,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLINIC_OPER_LOG,临床诊疗项目操作日志表,临床诊疗项目操作日志表,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,临床诊疗项目操作日志表,待从原始表结构文档逐表精确回填,待确认,手术,日志表,需要人工确认,0,待活跃度统计,OPER_DATE+ITEM_CODE,OPER_DATE+ITEM_CODE,,否,否,建议排除,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,COMM,INP_CANCEL_LOG,作废住院号管理表,作废住院号管理表,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,作废住院号管理表,待从原始表结构文档逐表精确回填,待确认,住院就诊,主数据表,需要人工确认,0,待活跃度统计,INP_NO,INP_NO,,否,否,建议排除,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,COMM,OPERATION_LOG,操作日志,操作日志,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,操作日志,待从原始表结构文档逐表精确回填,待确认,手术,日志表,需要人工确认,57407694,待活跃度统计,,需要验证,,否,否,建议排除,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,COMM,PRICE_LIST_LOG,价表日志,价表日志,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,价表日志,待从原始表结构文档逐表精确回填,待确认,费用收费,日志表,需要人工确认,98,待活跃度统计,ITEM_CLASS+ITEM_CODE+ITEM_SPEC+UNITS+START_DATE+ENTER_DATE,ITEM_CLASS+ITEM_CODE+ITEM_SPEC+UNITS+START_DATE+ENTER_DATE,,否,否,建议排除,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,COMM,SECURITY_TEMPLATE,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,人员字典,主数据表,需要人工确认,3662,待活跃度统计,APPLICATION+WINDOW+CONTROL+ITEM_NO,APPLICATION+WINDOW+CONTROL+ITEM_NO,,否,否,建议排除,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,COMM,TJ_ERROR_LOG,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,日志表,需要人工确认,0,待活跃度统计,ERROR_DATE,ERROR_DATE,,否,否,建议排除,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,COMM,TJ_LOG_MESSAGE,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,日志表,需要人工确认,0,待活跃度统计,LOG_DATE,LOG_DATE,,否,否,建议排除,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,COMM,UPDATE_LOG,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,主数据表,需要人工确认,9184838,待活跃度统计,,需要验证,,否,否,建议排除,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,如该表仍被业务查询或接口依赖，请恢复为待确认
