系统名称,库名,Schema,表名,表中文名,表备注,来源文件名称,来源文件章节,数据库实际备注,文档备注,文档与实际库是否一致,业务域,表类型,数据粒度,总行数,活跃度判断,核心字段,候选主键,候选关联字段,是否纳入数据资产,是否进入数据治理系统,确认状态,判断依据,需要人工确认的问题
HIS_SOURCE,his_ready_10_10_10_15,COMM,DIAGNOSIS_DICT_BK_20210209,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,诊断,字典表,一行一条诊断,27599,待活跃度统计,,需要验证,,否,否,待人工确认,未命中核心业务关系且上一轮为 candidate,是否仍在当前 HIS 业务流程或数据治理口径中使用
HIS_SOURCE,his_ready_10_10_10_15,COMM,DIAGNOSIS_DICT_BK_20210808,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,诊断,字典表,一行一条诊断,25924,待活跃度统计,,需要验证,,否,否,待人工确认,未命中核心业务关系且上一轮为 candidate,是否仍在当前 HIS 业务流程或数据治理口径中使用
HIS_SOURCE,his_ready_10_10_10_15,COMM,DIAGNOSIS_DICT_BK_20220822,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,诊断,字典表,一行一条诊断,27546,待活跃度统计,,需要验证,,否,否,待人工确认,未命中核心业务关系且上一轮为 candidate,是否仍在当前 HIS 业务流程或数据治理口径中使用
HIS_SOURCE,his_ready_10_10_10_15,COMM,DIAGNOSIS_DICT_TEMP,疾病字典,疾病字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,疾病字典,待从原始表结构文档逐表精确回填,待确认,诊断,字典表,一行一条诊断,38145,待活跃度统计,,需要验证,,否,否,待人工确认,未命中核心业务关系且上一轮为 candidate,是否仍在当前 HIS 业务流程或数据治理口径中使用
HIS_SOURCE,his_ready_10_10_10_15,COMM,DICT_EXCEL_TEMPLATE,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,人员字典,字典表,一行一个字典项,0,待活跃度统计,ID,ID,,否,否,待人工确认,未命中核心业务关系且上一轮为 candidate,是否仍在当前 HIS 业务流程或数据治理口径中使用
HIS_SOURCE,his_ready_10_10_10_15,COMM,DRUG_SUPPLIER_CATALOG,药品供应商目录,药品供应商目录,系统表结构/HIS系统数据库表结构.md; 系统表结构/HIS系统药房药库表设计文档.md,按表名索引匹配，章节需人工确认,药品供应商目录,待从原始表结构文档逐表精确回填,待确认,药品,主数据表,需要人工确认,1452,待活跃度统计,SUPPLIER_ID,SUPPLIER_ID,,否,否,待人工确认,未命中核心业务关系且上一轮为 candidate,是否仍在当前 HIS 业务流程或数据治理口径中使用
HIS_SOURCE,his_ready_10_10_10_15,COMM,EXP_DICT_BK,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,材料字典,字典表,一行一个字典项,37,待活跃度统计,,需要验证,,否,否,待人工确认,未命中核心业务关系且上一轮为 candidate,是否仍在当前 HIS 业务流程或数据治理口径中使用
HIS_SOURCE,his_ready_10_10_10_15,COMM,EXP_NAME_DICT_BK,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,材料字典,字典表,一行一个字典项,181,待活跃度统计,,需要验证,,否,否,待人工确认,未命中核心业务关系且上一轮为 candidate,是否仍在当前 HIS 业务流程或数据治理口径中使用
HIS_SOURCE,his_ready_10_10_10_15,COMM,EXP_SUPPLIER_CATALOG,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,材料字典,主数据表,需要人工确认,3505,待活跃度统计,SUPPLIER_ID,SUPPLIER_ID,,否,否,待人工确认,未命中核心业务关系且上一轮为 candidate,是否仍在当前 HIS 业务流程或数据治理口径中使用
HIS_SOURCE,his_ready_10_10_10_15,COMM,HIS_VS_BJYB_CATALOG,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,主数据表,需要人工确认,0,待活跃度统计,CODE_HIS,CODE_HIS,,否,否,待人工确认,未命中核心业务关系且上一轮为 candidate,是否仍在当前 HIS 业务流程或数据治理口径中使用
