review_priority,suggested_action_code,source_system,source_db,owner,table_name,table_comment,num_rows_stats,inferred_domain_original,inferred_domain_refined,domain_refine_reason,column_count_in_current_file,has_primary_key,dependency_count,object_type,low_row_decision,low_row_reason,manual_decision,manual_note
P0,KEEP_CORE,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_PSNDOC,,3279,人员,人员,,115,true,72,table,not_applied,,,
P0,KEEP_CORE,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,HI_PSNJOB,,5460,人员,人员,,73,true,11,table,not_applied,,,
P0,KEEP_CORE,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_PSNCL,,19,人员,人员,,22,true,6,table,not_applied,,,
P0,KEEP_CORE,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,HI_PSNDOC_EDU,,3824,人员,人员,,40,true,2,table,not_applied,,,
P0,KEEP_CORE,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,HI_PSNDOC_GLBDEF2,,3567,人员,人员,,20,true,2,table,not_applied,,,
P0,KEEP_CORE,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,HI_PSNDOC_PSNCHG,,3287,人员,人员,,28,true,1,table,not_applied,,,
P0,KEEP_CORE,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,HI_PSNDOC_CERT,,3216,人员,人员,,20,true,0,table,not_applied,,,
P0,KEEP_CORE,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_DEPT,,325,科室/组织,科室/组织,,80,true,77,table,not_applied,,,
P0,KEEP_CORE,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ADMINORG,,1,科室/组织,科室/组织,,62,true,13,table,keep,强制保留白名单,,
P0,KEEP_CORE,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_DEPT_V,,328,科室/组织,科室/组织,,75,true,7,table,not_applied,,,
P0,KEEP_CORE,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_STOCKORG,,1,科室/组织,科室/组织,,60,true,2,table,keep,强制保留白名单,,
P0,KEEP_CORE,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BM_CENTERDEPTMAKE_B,,1832,科室/组织,科室/组织,,108,true,1,table,not_applied,,,
P0,KEEP_CORE,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,CDA_SECTION_MAP,院内科室与CS_SECTION标准科室代码对照表,205,科室/组织,科室/组织,,14,true,1,table,not_applied,,,
